Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
stm,Safari 11,,,2019-08-01 15:51:56,2019-08-01 16:05:02,13m - 5.545s,INCOMPLETE
,,,,,,,
Test Cases/mobileWeb/stm/Slaico,Safari 11,,,2019-08-01 15:51:56,2019-08-01 15:53:48,1m - 51.912s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""Salico""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-08-01 15:51:58,2019-08-01 15:51:58,0.745s,PASSED
i = 0,Safari 11,,,2019-08-01 15:51:58,2019-08-01 15:51:58,0.001s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-08-01 15:51:58,2019-08-01 15:52:13,14.811s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [""zipcode"":""60602""], STOP_ON_FAILURE)",Safari 11,,,2019-08-01 15:52:13,2019-08-01 15:52:30,16.379s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""slaico""], STOP_ON_FAILURE)",Safari 11,,,2019-08-01 15:52:30,2019-08-01 15:52:40,9.926s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToDetail_stm""), [""carrier"":""slaico""], STOP_ON_FAILURE)",Safari 11,,,2019-08-01 15:52:40,2019-08-01 15:52:47,7.468s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-08-01 15:52:47,2019-08-01 15:52:58,10.685s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToEnd_stm_autofill""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-08-01 15:52:58,2019-08-01 15:53:48,50.600s,PASSED
,,,,,,,
Test Cases/mobileWeb/stm/AdvantHealth,Safari 11,,,2019-08-01 15:53:48,2019-08-01 15:55:36,1m - 48.079s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""AdvantHealth""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-08-01 15:53:49,2019-08-01 15:53:49,0.092s,PASSED
i = 0,Safari 11,,,2019-08-01 15:53:49,2019-08-01 15:53:49,0.002s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,,2019-08-01 15:53:49,2019-08-01 15:53:58,9.423s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [""zipcode"":""35215""], STOP_ON_FAILURE)",Safari 11,,,2019-08-01 15:53:58,2019-08-01 15:54:09,11.262s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""advanthealth""], STOP_ON_FAILURE)",Safari 11,,,2019-08-01 15:54:09,2019-08-01 15:54:18,8.772s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToDetail_stm""), [""carrier"":""advanthealth""], STOP_ON_FAILURE)",Safari 11,,,2019-08-01 15:54:18,2019-08-01 15:54:25,7.340s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-08-01 15:54:25,2019-08-01 15:54:35,9.370s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToEnd_stm_autofill""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-08-01 15:54:35,2019-08-01 15:55:36,1m - 1.590s,PASSED
,,,,,,,
Test Cases/mobileWeb/stm/Companion,Safari 11,,,2019-08-01 15:55:36,2019-08-01 15:57:21,1m - 45.055s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""Companion""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-08-01 15:55:37,2019-08-01 15:55:37,0.071s,PASSED
i = 0,Safari 11,,,2019-08-01 15:55:37,2019-08-01 15:55:37,0.000s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,,2019-08-01 15:55:37,2019-08-01 15:55:46,9.575s,PASSED
