Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
stm,Safari 11,,2019-12-01 08:02:28,2019-12-01 08:11:36,9m - 7.557s,FAILED
,,,,,,
Test Cases/mobileWeb/stm/Slaico,Safari 11,,2019-12-01 08:02:29,2019-12-01 08:03:38,1m - 9.027s,FAILED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""Salico""], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-01 08:02:29,2019-12-01 08:02:30,0.790s,PASSED
i = 0,Safari 11,,2019-12-01 08:02:30,2019-12-01 08:02:30,0.001s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], STOP_ON_FAILURE)",Safari 11,,2019-12-01 08:02:30,2019-12-01 08:02:37,6.533s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [""zipcode"":""60602""], STOP_ON_FAILURE)",Safari 11,,2019-12-01 08:02:37,2019-12-01 08:02:47,10.729s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""slaico""], STOP_ON_FAILURE)",Safari 11,,2019-12-01 08:02:47,2019-12-01 08:03:38,50.355s,FAILED
,,,,,,
Test Cases/mobileWeb/stm/AdvantHealth,Safari 11,,2019-12-01 08:03:38,2019-12-01 08:04:43,1m - 5.329s,FAILED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""AdvantHealth""], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-01 08:03:38,2019-12-01 08:03:38,0.080s,PASSED
i = 0,Safari 11,,2019-12-01 08:03:38,2019-12-01 08:03:38,0.000s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-01 08:03:38,2019-12-01 08:03:43,4.476s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [""zipcode"":""35215""], STOP_ON_FAILURE)",Safari 11,,2019-12-01 08:03:43,2019-12-01 08:03:53,10.092s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""advanthealth""], STOP_ON_FAILURE)",Safari 11,,2019-12-01 08:03:53,2019-12-01 08:04:43,50.459s,FAILED
,,,,,,
Test Cases/mobileWeb/stm/Companion,Safari 11,,2019-12-01 08:04:43,2019-12-01 08:06:13,1m - 30.267s,FAILED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""Companion""], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-01 08:04:43,2019-12-01 08:04:43,0.081s,PASSED
i = 0,Safari 11,,2019-12-01 08:04:43,2019-12-01 08:04:43,0.001s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-01 08:04:43,2019-12-01 08:04:48,4.911s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-01 08:04:48,2019-12-01 08:04:58,9.759s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""pivotcompanion""], STOP_ON_FAILURE)",Safari 11,,2019-12-01 08:04:58,2019-12-01 08:05:05,7.353s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToDetail_stm""), [""carrier"":""pivot-health-choice""], STOP_ON_FAILURE)",Safari 11,,2019-12-01 08:05:05,2019-12-01 08:05:10,4.663s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,2019-12-01 08:05:10,2019-12-01 08:05:17,6.828s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToEnd_stm_autofill""), [:], STOP_ON_FAILURE)",Safari 11,,2019-12-01 08:05:17,2019-12-01 08:06:13,56.522s,FAILED
,,,,,,
Test Cases/mobileWeb/stm/Everest,Safari 11,,2019-12-01 08:06:13,2019-12-01 08:07:16,1m - 2.844s,FAILED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""Everest""], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-01 08:06:14,2019-12-01 08:06:14,0.063s,PASSED
i = 0,Safari 11,,2019-12-01 08:06:14,2019-12-01 08:06:14,0.000s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], STOP_ON_FAILURE)",Safari 11,,2019-12-01 08:06:14,2019-12-01 08:06:17,3.768s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [""zipcode"":""83709""], STOP_ON_FAILURE)",Safari 11,,2019-12-01 08:06:17,2019-12-01 08:06:27,9.532s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""everest-one""], STOP_ON_FAILURE)",Safari 11,,2019-12-01 08:06:27,2019-12-01 08:07:16,49.344s,FAILED
,,,,,,
Test Cases/mobileWeb/stm/Everest Prime,Safari 11,,2019-12-01 08:07:16,2019-12-01 08:08:33,1m - 17.116s,FAILED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""Everest Prime""], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-01 08:07:16,2019-12-01 08:07:17,0.065s,PASSED
i = 0,Safari 11,,2019-12-01 08:07:17,2019-12-01 08:07:17,0.000s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-01 08:07:17,2019-12-01 08:07:21,4.136s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-01 08:07:21,2019-12-01 08:07:31,10.132s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""everest""], STOP_ON_FAILURE)",Safari 11,,2019-12-01 08:07:31,2019-12-01 08:07:38,7.431s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToDetail_stm""), [""carrier"":""everest""], STOP_ON_FAILURE)",Safari 11,,2019-12-01 08:07:38,2019-12-01 08:07:42,3.368s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,2019-12-01 08:07:42,2019-12-01 08:07:48,6.239s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToEnd_stm_autofill""), [:], STOP_ON_FAILURE)",Safari 11,,2019-12-01 08:07:48,2019-12-01 08:08:33,45.563s,FAILED
,,,,,,
Test Cases/mobileWeb/stm/LifeShield,Safari 11,,2019-12-01 08:08:33,2019-12-01 08:08:53,19.524s,FAILED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""LifeShield""], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-01 08:08:34,2019-12-01 08:08:34,0.062s,PASSED
i = 0,Safari 11,,2019-12-01 08:08:34,2019-12-01 08:08:34,0.000s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], STOP_ON_FAILURE)",Safari 11,,2019-12-01 08:08:34,2019-12-01 08:08:38,4.743s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [""zipcode"":""60602""], STOP_ON_FAILURE)",Safari 11,,2019-12-01 08:08:38,2019-12-01 08:08:49,10.370s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""lifeshield""], STOP_ON_FAILURE)",Safari 11,,2019-12-01 08:08:49,2019-12-01 08:08:53,4.171s,FAILED
,,,,,,
Test Cases/mobileWeb/stm/NationalGeneral,Safari 11,,2019-12-01 08:08:53,2019-12-01 08:10:19,1m - 26.368s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""National General""], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-01 08:08:53,2019-12-01 08:08:53,0.069s,PASSED
i = 0,Safari 11,,2019-12-01 08:08:53,2019-12-01 08:08:53,0.000s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-01 08:08:53,2019-12-01 08:08:58,5.109s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-01 08:08:58,2019-12-01 08:09:09,10.740s,PASSED
