Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
asegumed,Safari 11,,2020-05-21 08:00:51,2020-05-21 08:03:20,2m - 29.337s,PASSED
,,,,,,
Test Cases/AseguMed/Legion,Safari 11,,2020-05-21 08:00:52,2020-05-21 08:03:19,2m - 26.550s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenPath""), [""productLine"":""AseguMed"", ""carrierName"":""Legion""], STOP_ON_FAILURE)",Safari 11,,2020-05-21 08:00:58,2020-05-21 08:01:00,1.946s,PASSED
i = 0,Safari 11,,2020-05-21 08:01:00,2020-05-21 08:01:00,0.003s,PASSED
"openBrowser(""https://pruebas.asegumed.com/"")",Safari 11,,2020-05-21 08:01:00,2020-05-21 08:01:21,21.888s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-05-21 08:01:21,2020-05-21 08:01:26,4.754s,PASSED
"click(findTestObject(""AseguMed/homepage/cta-button""))",Safari 11,,2020-05-21 08:01:26,2020-05-21 08:01:28,1.579s,PASSED
"waitForElementPresent(findTestObject(""AseguMed/census_page/input_zip""), 20)",Safari 11,,2020-05-21 08:01:28,2020-05-21 08:01:28,0.189s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-05-21 08:01:28,2020-05-21 08:01:30,1.750s,PASSED
"sendKeys(findTestObject(""AseguMed/census_page/input_zip""), ""35215"")",Safari 11,,2020-05-21 08:01:30,2020-05-21 08:01:30,0.179s,PASSED
"sendKeys(findTestObject(""AseguMed/census_page/input_dob""), ""12121988"")",Safari 11,,2020-05-21 08:01:30,2020-05-21 08:01:30,0.209s,PASSED
"click(findTestObject(""AseguMed/census_page/label_gender_male""))",Safari 11,,2020-05-21 08:01:30,2020-05-21 08:01:30,0.188s,PASSED
"click(findTestObject(""AseguMed/census_page/census_submit_button""))",Safari 11,,2020-05-21 08:01:30,2020-05-21 08:01:32,1.916s,PASSED
"waitForElementPresent(findTestObject(""AseguMed/quote_page/detail_link_plan_2""), 20)",Safari 11,,2020-05-21 08:01:32,2020-05-21 08:01:32,0.035s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-05-21 08:01:32,2020-05-21 08:01:34,1.682s,PASSED
"click(findTestObject(""AseguMed/quote_page/detail_link_plan_2""))",Safari 11,,2020-05-21 08:01:34,2020-05-21 08:01:35,0.900s,PASSED
waitForPageLoad(10),Safari 11,,2020-05-21 08:01:35,2020-05-21 08:01:35,0.310s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-05-21 08:01:35,2020-05-21 08:01:37,1.787s,PASSED
"click(findTestObject(""AseguMed/detail_page/detail_apply_button""))",Safari 11,,2020-05-21 08:01:37,2020-05-21 08:01:39,1.774s,PASSED
waitForPageLoad(10),Safari 11,,2020-05-21 08:01:39,2020-05-21 08:01:39,0.023s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-05-21 08:01:39,2020-05-21 08:01:40,1.538s,PASSED
"click(findTestObject(""AseguMed/apply_page/apply_button""))",Safari 11,,2020-05-21 08:01:40,2020-05-21 08:01:42,1.369s,PASSED
"waitForElementPresent(findTestObject(""AseguMed/app page 1/input_firstname""), 20)",Safari 11,,2020-05-21 08:01:42,2020-05-21 08:01:44,1.984s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-05-21 08:01:44,2020-05-21 08:01:45,1.739s,PASSED
