Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"callTestCase(findTestCase(""AHI/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""Everest Prime""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-12-06 11:32:34,2019-12-06 11:32:34,0.077s,PASSED
i = 0,Safari 11,,,2019-12-06 11:32:34,2019-12-06 11:32:34,0.001s,PASSED
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,,2019-12-06 11:32:34,2019-12-06 11:32:41,6.840s,PASSED
"callTestCase(findTestCase(""AHI/_include/census_stm""), [:], CONTINUE_ON_FAILURE)",Safari 11,,,2019-12-06 11:32:41,2019-12-06 11:33:16,35.506s,PASSED
"callTestCase(findTestCase(""AHI/_include/filter_stm""), [""carrier"":""everest""], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 11:33:16,2019-12-06 11:33:26,9.529s,PASSED
"callTestCase(findTestCase(""AHI/_include/goToDetail_stm""), [""carrier"":""everest""], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 11:33:26,2019-12-06 11:33:32,6.618s,PASSED
"callTestCase(findTestCase(""AHI/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 11:33:32,2019-12-06 11:33:40,8.137s,PASSED
"callTestCase(findTestCase(""AHI/_include/goToEnd_stm_autofill""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 11:33:40,2019-12-06 11:34:34,53.869s,PASSED
,,,,,,,
Test Cases/AHI/stm/LifeShield,Safari 11,,,2019-12-06 11:34:34,2019-12-06 11:35:19,44.975s,ERROR
"callTestCase(findTestCase(""AHI/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""LifeShield""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-12-06 11:34:35,2019-12-06 11:34:35,0.068s,PASSED
i = 0,Safari 11,,,2019-12-06 11:34:35,2019-12-06 11:34:35,0.001s,PASSED
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 11:34:35,2019-12-06 11:34:42,7.175s,PASSED
"callTestCase(findTestCase(""AHI/_include/census_stm""), [""zipcode"":""60602""], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 11:34:42,2019-12-06 11:35:15,33.360s,PASSED
"callTestCase(findTestCase(""AHI/_include/filter_stm""), [""carrier"":""lifeshield""], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 11:35:15,2019-12-06 11:35:19,4.031s,FAILED
,,,,,,,
Test Cases/AHI/stm/NationalGeneral,Safari 11,,,2019-12-06 11:35:19,2019-12-06 11:37:38,2m - 18.436s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""National General""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-12-06 11:35:19,2019-12-06 11:35:20,0.069s,PASSED
i = 0,Safari 11,,,2019-12-06 11:35:20,2019-12-06 11:35:20,0.000s,PASSED
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,,2019-12-06 11:35:20,2019-12-06 11:35:27,7.356s,PASSED
