Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
stm,Safari 11,,2019-08-29 08:03:08,2019-08-29 08:16:43,13m - 34.356s,FAILED
,,,,,,
Test Cases/mobileWeb/stm/Slaico,Safari 11,,2019-08-29 08:03:09,2019-08-29 08:05:07,1m - 58.038s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""Salico""], CONTINUE_ON_FAILURE)",Safari 11,,2019-08-29 08:03:10,2019-08-29 08:03:10,0.560s,PASSED
i = 0,Safari 11,,2019-08-29 08:03:10,2019-08-29 08:03:10,0.001s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], STOP_ON_FAILURE)",Safari 11,,2019-08-29 08:03:10,2019-08-29 08:03:36,25.315s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [""zipcode"":""60602""], STOP_ON_FAILURE)",Safari 11,,2019-08-29 08:03:36,2019-08-29 08:03:48,12.317s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""slaico""], STOP_ON_FAILURE)",Safari 11,,2019-08-29 08:03:48,2019-08-29 08:04:01,13.461s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToDetail_stm""), [""carrier"":""slaico""], STOP_ON_FAILURE)",Safari 11,,2019-08-29 08:04:01,2019-08-29 08:04:07,5.439s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,2019-08-29 08:04:07,2019-08-29 08:04:15,8.451s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToEnd_stm_autofill""), [:], STOP_ON_FAILURE)",Safari 11,,2019-08-29 08:04:15,2019-08-29 08:05:07,51.754s,PASSED
,,,,,,
Test Cases/mobileWeb/stm/AdvantHealth,Safari 11,,2019-08-29 08:05:07,2019-08-29 08:06:54,1m - 47.411s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""AdvantHealth""], CONTINUE_ON_FAILURE)",Safari 11,,2019-08-29 08:05:08,2019-08-29 08:05:08,0.238s,PASSED
i = 0,Safari 11,,2019-08-29 08:05:08,2019-08-29 08:05:08,0.000s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2019-08-29 08:05:08,2019-08-29 08:05:19,10.837s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [""zipcode"":""35215""], STOP_ON_FAILURE)",Safari 11,,2019-08-29 08:05:19,2019-08-29 08:05:32,13.748s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""advanthealth""], STOP_ON_FAILURE)",Safari 11,,2019-08-29 08:05:32,2019-08-29 08:05:45,12.913s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToDetail_stm""), [""carrier"":""advanthealth""], STOP_ON_FAILURE)",Safari 11,,2019-08-29 08:05:45,2019-08-29 08:05:50,4.327s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,2019-08-29 08:05:50,2019-08-29 08:05:57,7.254s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToEnd_stm_autofill""), [:], STOP_ON_FAILURE)",Safari 11,,2019-08-29 08:05:57,2019-08-29 08:06:54,57.469s,PASSED
,,,,,,
Test Cases/mobileWeb/stm/Companion,Safari 11,,2019-08-29 08:06:54,2019-08-29 08:08:36,1m - 41.960s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""Companion""], CONTINUE_ON_FAILURE)",Safari 11,,2019-08-29 08:06:55,2019-08-29 08:06:55,0.079s,PASSED
i = 0,Safari 11,,2019-08-29 08:06:55,2019-08-29 08:06:55,0.002s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2019-08-29 08:06:55,2019-08-29 08:07:06,11.500s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2019-08-29 08:07:06,2019-08-29 08:07:18,11.879s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""pivotcompanion""], STOP_ON_FAILURE)",Safari 11,,2019-08-29 08:07:18,2019-08-29 08:07:28,9.157s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToDetail_stm""), [""carrier"":""pivot-health-choice""], STOP_ON_FAILURE)",Safari 11,,2019-08-29 08:07:28,2019-08-29 08:07:32,4.133s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,2019-08-29 08:07:32,2019-08-29 08:07:39,7.741s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToEnd_stm_autofill""), [:], STOP_ON_FAILURE)",Safari 11,,2019-08-29 08:07:39,2019-08-29 08:08:36,56.985s,PASSED
,,,,,,
Test Cases/mobileWeb/stm/Everest,Safari 11,,2019-08-29 08:08:36,2019-08-29 08:10:09,1m - 32.211s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""Everest""], CONTINUE_ON_FAILURE)",Safari 11,,2019-08-29 08:08:37,2019-08-29 08:08:37,0.100s,PASSED
i = 0,Safari 11,,2019-08-29 08:08:37,2019-08-29 08:08:37,0.002s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], STOP_ON_FAILURE)",Safari 11,,2019-08-29 08:08:37,2019-08-29 08:08:43,6.559s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [""zipcode"":""83709""], STOP_ON_FAILURE)",Safari 11,,2019-08-29 08:08:43,2019-08-29 08:08:55,11.699s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""everest-one""], STOP_ON_FAILURE)",Safari 11,,2019-08-29 08:08:55,2019-08-29 08:09:03,8.375s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToDetail_stm""), [""carrier"":""everest-one""], STOP_ON_FAILURE)",Safari 11,,2019-08-29 08:09:03,2019-08-29 08:09:07,3.861s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,2019-08-29 08:09:07,2019-08-29 08:09:18,10.631s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToEnd_stm_autofill""), [:], STOP_ON_FAILURE)",Safari 11,,2019-08-29 08:09:18,2019-08-29 08:10:09,50.614s,PASSED
,,,,,,
Test Cases/mobileWeb/stm/Everest Prime,Safari 11,,2019-08-29 08:10:09,2019-08-29 08:11:33,1m - 23.937s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""Everest Prime""], CONTINUE_ON_FAILURE)",Safari 11,,2019-08-29 08:10:09,2019-08-29 08:10:09,0.075s,PASSED
i = 0,Safari 11,,2019-08-29 08:10:09,2019-08-29 08:10:09,0.000s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2019-08-29 08:10:09,2019-08-29 08:10:16,6.678s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2019-08-29 08:10:16,2019-08-29 08:10:28,11.828s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""everest""], STOP_ON_FAILURE)",Safari 11,,2019-08-29 08:10:28,2019-08-29 08:10:35,7.446s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToDetail_stm""), [""carrier"":""everest""], STOP_ON_FAILURE)",Safari 11,,2019-08-29 08:10:35,2019-08-29 08:10:39,3.967s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,2019-08-29 08:10:39,2019-08-29 08:10:46,7.075s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToEnd_stm_autofill""), [:], STOP_ON_FAILURE)",Safari 11,,2019-08-29 08:10:46,2019-08-29 08:11:33,46.468s,PASSED
,,,,,,
Test Cases/mobileWeb/stm/LifeShield,Safari 11,,2019-08-29 08:11:33,2019-08-29 08:12:54,1m - 21.060s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""LifeShield""], CONTINUE_ON_FAILURE)",Safari 11,,2019-08-29 08:11:33,2019-08-29 08:11:33,0.062s,PASSED
i = 0,Safari 11,,2019-08-29 08:11:33,2019-08-29 08:11:33,0.000s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], STOP_ON_FAILURE)",Safari 11,,2019-08-29 08:11:33,2019-08-29 08:11:39,6.372s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [""zipcode"":""60602""], STOP_ON_FAILURE)",Safari 11,,2019-08-29 08:11:39,2019-08-29 08:11:48,8.621s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""lifeshield""], STOP_ON_FAILURE)",Safari 11,,2019-08-29 08:11:48,2019-08-29 08:11:56,8.360s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToDetail_stm""), [""carrier"":""lifeshield""], STOP_ON_FAILURE)",Safari 11,,2019-08-29 08:11:56,2019-08-29 08:12:00,3.690s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,2019-08-29 08:12:00,2019-08-29 08:12:08,7.757s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToEnd_stm_autofill""), [:], STOP_ON_FAILURE)",Safari 11,,2019-08-29 08:12:08,2019-08-29 08:12:54,46.008s,PASSED
,,,,,,
Test Cases/mobileWeb/stm/NationalGeneral,Safari 11,,2019-08-29 08:12:54,2019-08-29 08:15:16,2m - 22.519s,FAILED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""National General""], CONTINUE_ON_FAILURE)",Safari 11,,2019-08-29 08:12:54,2019-08-29 08:12:54,0.067s,PASSED
i = 0,Safari 11,,2019-08-29 08:12:54,2019-08-29 08:12:54,0.001s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2019-08-29 08:12:54,2019-08-29 08:13:00,6.479s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2019-08-29 08:13:00,2019-08-29 08:13:10,9.577s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""nationalgeneral""], STOP_ON_FAILURE)",Safari 11,,2019-08-29 08:13:10,2019-08-29 08:13:18,8.594s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToDetail_stm""), [""carrier"":""nationalgeneral""], STOP_ON_FAILURE)",Safari 11,,2019-08-29 08:13:18,2019-08-29 08:13:23,4.474s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,2019-08-29 08:13:23,2019-08-29 08:13:30,7.087s,PASSED
