Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
stm,Safari 11,,,2019-08-20 15:54:53,2019-08-20 16:11:32,16m - 38.886s,INCOMPLETE
,,,,,,,
Test Cases/mobileWeb/stm/Slaico,Safari 11,,,2019-08-20 15:54:54,2019-08-20 15:58:30,3m - 35.085s,FAILED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""Salico""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-08-20 15:54:58,2019-08-20 15:55:02,3.873s,PASSED
i = 0,Safari 11,,,2019-08-20 15:55:02,2019-08-20 15:55:02,0.001s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-08-20 15:55:02,2019-08-20 15:55:58,56.129s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [""zipcode"":""60602""], STOP_ON_FAILURE)",Safari 11,,,2019-08-20 15:55:58,2019-08-20 15:56:39,40.326s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""slaico""], STOP_ON_FAILURE)",Safari 11,,,2019-08-20 15:56:39,2019-08-20 15:56:52,13.669s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToDetail_stm""), [""carrier"":""slaico""], STOP_ON_FAILURE)",Safari 11,,,2019-08-20 15:56:52,2019-08-20 15:57:06,13.786s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-08-20 15:57:06,2019-08-20 15:57:28,22.065s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToEnd_stm_autofill""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-08-20 15:57:28,2019-08-20 15:58:30,1m - 1.191s,FAILED
,,,,,,,
Test Cases/mobileWeb/stm/AdvantHealth,Safari 11,,,2019-08-20 15:58:30,2019-08-20 16:00:25,1m - 55.357s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""AdvantHealth""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-08-20 15:58:30,2019-08-20 15:58:30,0.106s,PASSED
i = 0,Safari 11,,,2019-08-20 15:58:30,2019-08-20 15:58:30,0.002s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,,2019-08-20 15:58:30,2019-08-20 15:58:40,9.616s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [""zipcode"":""35215""], STOP_ON_FAILURE)",Safari 11,,,2019-08-20 15:58:40,2019-08-20 15:58:57,17.213s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""advanthealth""], STOP_ON_FAILURE)",Safari 11,,,2019-08-20 15:58:57,2019-08-20 15:59:07,9.879s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToDetail_stm""), [""carrier"":""advanthealth""], STOP_ON_FAILURE)",Safari 11,,,2019-08-20 15:59:07,2019-08-20 15:59:14,6.935s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-08-20 15:59:14,2019-08-20 15:59:24,10.716s,PASSED
