Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ahi,Safari 11,,2020-04-21 08:15:12,2020-04-21 08:29:24,14m - 12.665s,PASSED
,,,,,,
Test Cases/AHI/NEW/ACA Health Insurance,Safari 11,,2020-04-21 08:15:13,2020-04-21 08:16:13,1m - 0.521s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenPath""), [""productLine"":""AHI"", ""carrierName"":""ACA Health Insurance""], CONTINUE_ON_FAILURE)",Safari 11,,2020-04-21 08:15:13,2020-04-21 08:15:14,0.585s,PASSED
i = 0,Safari 11,,2020-04-21 08:15:14,2020-04-21 08:15:14,0.001s,PASSED
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2020-04-21 08:15:14,2020-04-21 08:15:33,19.317s,PASSED
driver = getWebDriver(),Safari 11,,2020-04-21 08:15:33,2020-04-21 08:15:33,0.014s,PASSED
baseUrl = ENV,Safari 11,,2020-04-21 08:15:33,2020-04-21 08:15:33,0.001s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Safari 11,,2020-04-21 08:15:33,2020-04-21 08:15:33,0.078s,PASSED
"selenium.click(""//*[@class='filter-option-inner-inner']"")",Safari 11,,2020-04-21 08:15:33,2020-04-21 08:15:34,0.272s,PASSED
"selenium.click(""id=bs-select-1-0"")",Safari 11,,2020-04-21 08:15:34,2020-04-21 08:15:34,0.317s,PASSED
"selenium.click(""id=primaryCTA"")",Safari 11,,2020-04-21 08:15:34,2020-04-21 08:15:45,11.550s,PASSED
"for ([second = 0, second < 10, (second++)])",Safari 11,,2020-04-21 08:15:45,2020-04-21 08:15:49,3.369s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-04-21 08:15:49,2020-04-21 08:15:50,1.642s,PASSED
"url = selenium.getAttribute(""xpath=(//a[@class='front-door-quote-button'])@href"")",Safari 11,,2020-04-21 08:15:50,2020-04-21 08:15:51,0.115s,PASSED
navigateToUrl(url),Safari 11,,2020-04-21 08:15:51,2020-04-21 08:16:12,20.999s,PASSED
waitForPageLoad(10),Safari 11,,2020-04-21 08:16:12,2020-04-21 08:16:12,0.027s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-04-21 08:16:12,2020-04-21 08:16:13,1.553s,PASSED
,,,,,,
Test Cases/AHI/NEW/Cancer Insurance,Safari 11,,2020-04-21 08:16:13,2020-04-21 08:18:39,2m - 25.861s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenPath""), [""productLine"":""AHI"", ""carrierName"":""Cancer Insurance""], CONTINUE_ON_FAILURE)",Safari 11,,2020-04-21 08:16:14,2020-04-21 08:16:14,0.100s,PASSED
i = 0,Safari 11,,2020-04-21 08:16:14,2020-04-21 08:16:14,0.001s,PASSED
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2020-04-21 08:16:14,2020-04-21 08:16:31,16.844s,PASSED
driver = getWebDriver(),Safari 11,,2020-04-21 08:16:31,2020-04-21 08:16:31,0.001s,PASSED
baseUrl = ENV,Safari 11,,2020-04-21 08:16:31,2020-04-21 08:16:31,0.001s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Safari 11,,2020-04-21 08:16:31,2020-04-21 08:16:31,0.056s,PASSED
"selenium.click(""//*[@class='filter-option-inner-inner']"")",Safari 11,,2020-04-21 08:16:31,2020-04-21 08:16:31,0.151s,PASSED
"selenium.click(""id=bs-select-1-1"")",Safari 11,,2020-04-21 08:16:31,2020-04-21 08:16:31,0.267s,PASSED
"selenium.click(""id=primaryCTA"")",Safari 11,,2020-04-21 08:16:31,2020-04-21 08:16:35,3.898s,PASSED
"for ([second = 0, second < 20, (second++)])",Safari 11,,2020-04-21 08:16:35,2020-04-21 08:16:35,0.422s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-04-21 08:16:35,2020-04-21 08:16:37,1.534s,PASSED
"sendKeys(findTestObject(""mobileSanity/Cancer Insurance/zip""), ""35216"")",Safari 11,,2020-04-21 08:16:37,2020-04-21 08:16:37,0.183s,PASSED
"sendKeys(findTestObject(""mobileSanity/Cancer Insurance/dob-0""), ""01/01/1990"")",Safari 11,,2020-04-21 08:16:37,2020-04-21 08:16:37,0.230s,PASSED
Thread.sleep(2000),Safari 11,,2020-04-21 08:16:37,2020-04-21 08:16:39,2.001s,PASSED
"selenium.click(""//label[@for='gender-m-0']"")",Safari 11,,2020-04-21 08:16:39,2020-04-21 08:16:40,0.168s,PASSED
Thread.sleep(3000),Safari 11,,2020-04-21 08:16:40,2020-04-21 08:16:43,3.002s,PASSED
"selenium.click(""id=js-see-plans"")",Safari 11,,2020-04-21 08:16:43,2020-04-21 08:16:54,11.205s,PASSED
"for ([second = 0, second < 20, (second++)])",Safari 11,,2020-04-21 08:16:54,2020-04-21 08:17:15,21.479s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-04-21 08:17:15,2020-04-21 08:17:17,2.190s,PASSED
"selenium.click(""xpath=(//a[contains(text(),'Option 1')])[1]"")",Safari 11,,2020-04-21 08:17:17,2020-04-21 08:17:26,8.181s,PASSED
"for ([second = 0, second < 20, (second++)])",Safari 11,,2020-04-21 08:17:26,2020-04-21 08:17:26,0.091s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-04-21 08:17:26,2020-04-21 08:17:27,1.784s,PASSED
"selenium.click(""id=plan-details-primary-apply"")",Safari 11,,2020-04-21 08:17:27,2020-04-21 08:17:29,1.129s,PASSED
"for ([second = 0, second < 20, (second++)])",Safari 11,,2020-04-21 08:17:29,2020-04-21 08:17:30,0.985s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-04-21 08:17:30,2020-04-21 08:17:31,1.620s,PASSED
"selenium.click(""id=applyButton"")",Safari 11,,2020-04-21 08:17:31,2020-04-21 08:17:35,3.438s,PASSED
"for ([second = 0, second < 20, (second++)])",Safari 11,,2020-04-21 08:17:35,2020-04-21 08:17:35,0.120s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-04-21 08:17:35,2020-04-21 08:17:36,1.545s,PASSED
"callTestCase(findTestCase(""AHI/_include/name""), [:], STOP_ON_FAILURE)",Safari 11,,2020-04-21 08:17:36,2020-04-21 08:17:37,1.221s,PASSED
"selenium.type(""id=member-P-1-firstName"", FirstName)",Safari 11,,2020-04-21 08:17:37,2020-04-21 08:17:38,0.160s,PASSED
"selenium.type(""id=member-P-1-lastName"", LastName)",Safari 11,,2020-04-21 08:17:38,2020-04-21 08:17:38,0.149s,PASSED
"selenium.type(""id=address"", Address)",Safari 11,,2020-04-21 08:17:38,2020-04-21 08:17:38,0.158s,PASSED
"selenium.type(""id=city"", City)",Safari 11,,2020-04-21 08:17:38,2020-04-21 08:17:38,0.132s,PASSED
"selenium.type(""id=email"", AutoEmail)",Safari 11,,2020-04-21 08:17:38,2020-04-21 08:17:38,0.141s,PASSED
"selenium.type(""id=primaryPhone"", Tel)",Safari 11,,2020-04-21 08:17:38,2020-04-21 08:17:38,0.132s,PASSED
"selenium.click(""id=js-app-continue-link"")",Safari 11,,2020-04-21 08:17:38,2020-04-21 08:17:39,0.283s,PASSED
"for ([second = 0, second < 20, (second++)])",Safari 11,,2020-04-21 08:17:39,2020-04-21 08:17:40,1.181s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-04-21 08:17:40,2020-04-21 08:17:41,1.560s,PASSED
"for ([i = 1, i < 12, (i++)])",Safari 11,,2020-04-21 08:17:41,2020-04-21 08:17:50,8.561s,PASSED
"selenium.click(""id=js-app-continue-link"")",Safari 11,,2020-04-21 08:17:50,2020-04-21 08:17:51,0.719s,PASSED
"for ([second = 0, second < 20, (second++)])",Safari 11,,2020-04-21 08:17:51,2020-04-21 08:17:52,1.165s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-04-21 08:17:52,2020-04-21 08:17:56,4.245s,PASSED
"selenium.type(""id=credit-card-number"", ""4111123123123123"")",Safari 11,,2020-04-21 08:17:56,2020-04-21 08:17:56,0.128s,PASSED
"selenium.type(""id=credit-card-first"", ""test"")",Safari 11,,2020-04-21 08:17:56,2020-04-21 08:17:56,0.130s,PASSED
"selenium.type(""id=credit-card-last"", ""test"")",Safari 11,,2020-04-21 08:17:56,2020-04-21 08:17:56,0.140s,PASSED
"selenium.select(""id=expiration-month"", ""12"")",Safari 11,,2020-04-21 08:17:56,2020-04-21 08:17:57,0.379s,PASSED
"selenium.select(""id=expiration-year"", ""2026"")",Safari 11,,2020-04-21 08:17:57,2020-04-21 08:17:57,0.275s,PASSED
"selenium.type(""id=credit-card-cvv"", ""123"")",Safari 11,,2020-04-21 08:17:57,2020-04-21 08:17:57,0.309s,PASSED
"selenium.type(""id=credit-card-number"", ""4111123123123123"")",Safari 11,,2020-04-21 08:17:57,2020-04-21 08:17:58,0.245s,PASSED
"selenium.click(""id=js-same-billing"")",Safari 11,,2020-04-21 08:17:58,2020-04-21 08:17:59,1.179s,PASSED
"selenium.click(""id=credit-payment-authorization"")",Safari 11,,2020-04-21 08:17:59,2020-04-21 08:18:00,0.679s,PASSED
"selenium.click(""id=js-app-continue-link"")",Safari 11,,2020-04-21 08:18:00,2020-04-21 08:18:00,0.350s,PASSED
"for ([second = 0, second < 20, (second++)])",Safari 11,,2020-04-21 08:18:00,2020-04-21 08:18:01,1.147s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-04-21 08:18:01,2020-04-21 08:18:03,1.749s,PASSED
"selenium.click(""id=consent-checkbox-0"")",Safari 11,,2020-04-21 08:18:03,2020-04-21 08:18:03,0.192s,PASSED
"selenium.click(""id=js-signature-tab"")",Safari 11,,2020-04-21 08:18:03,2020-04-21 08:18:04,0.817s,PASSED
"selenium.click(""id=js-app-continue-link"")",Safari 11,,2020-04-21 08:18:04,2020-04-21 08:18:05,0.981s,PASSED
"for ([second = 0, second < 30, (second++)])",Safari 11,,2020-04-21 08:18:05,2020-04-21 08:18:38,32.729s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-04-21 08:18:38,2020-04-21 08:18:39,1.488s,PASSED
,,,,,,
Test Cases/AHI/NEW/Dental/National General,Safari 11,Dental - National General application flow,2020-04-21 08:18:39,2020-04-21 08:20:37,1m - 57.990s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenPath""), [""productLine"":""AHI"", ""carrierName"":""Dental - National General""], CONTINUE_ON_FAILURE)",Safari 11,,2020-04-21 08:18:39,2020-04-21 08:18:39,0.083s,PASSED
i = 0,Safari 11,,2020-04-21 08:18:39,2020-04-21 08:18:39,0.000s,PASSED
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [:], STOP_ON_FAILURE)",Safari 11,,2020-04-21 08:18:39,2020-04-21 08:19:00,20.640s,PASSED
driver = getWebDriver(),Safari 11,,2020-04-21 08:19:00,2020-04-21 08:19:00,0.000s,PASSED
baseUrl = ENV,Safari 11,,2020-04-21 08:19:00,2020-04-21 08:19:00,0.001s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Safari 11,,2020-04-21 08:19:00,2020-04-21 08:19:00,0.019s,PASSED
"selenium.click(""//*[@class='filter-option-inner-inner']"")",Safari 11,,2020-04-21 08:19:00,2020-04-21 08:19:00,0.154s,PASSED
"selenium.click(""id=bs-select-1-2"")",Safari 11,,2020-04-21 08:19:00,2020-04-21 08:19:00,0.128s,PASSED
"selenium.click(""id=primaryCTA"")",Safari 11,,2020-04-21 08:19:00,2020-04-21 08:19:09,8.413s,PASSED
"for ([second = 0, second < 20, (second++)])",Safari 11,,2020-04-21 08:19:09,2020-04-21 08:19:09,0.183s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-04-21 08:19:09,2020-04-21 08:19:10,1.488s,PASSED
"setText(findTestObject(""mobileSanity/Dental/census/input_Location_zip-input""), ""35215"")",Safari 11,,2020-04-21 08:19:10,2020-04-21 08:19:11,0.220s,PASSED
"setText(findTestObject(""mobileSanity/Dental/census/input_Date of Birth_dob-0""), ""12121980"")",Safari 11,,2020-04-21 08:19:11,2020-04-21 08:19:11,0.189s,PASSED
"click(findTestObject(""mobileSanity/Dental/census/label_Male""))",Safari 11,,2020-04-21 08:19:11,2020-04-21 08:19:11,0.141s,PASSED
"selenium.click(""id=js-see-plans"")",Safari 11,,2020-04-21 08:19:11,2020-04-21 08:19:21,10.318s,PASSED
"for ([second = 0, second < 20, (second++)])",Safari 11,,2020-04-21 08:19:21,2020-04-21 08:19:25,3.603s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-04-21 08:19:25,2020-04-21 08:19:26,1.493s,PASSED
"click(findTestObject(""mobileSanity/Dental/filter/btn_filter""))",Safari 11,,2020-04-21 08:19:26,2020-04-21 08:19:27,0.100s,PASSED
"waitForElementVisible(findTestObject(""mobileSanity/Dental/filter/btn_company""), 10)",Safari 11,,2020-04-21 08:19:27,2020-04-21 08:19:27,0.059s,PASSED
"click(findTestObject(""mobileSanity/Dental/filter/btn_company""))",Safari 11,,2020-04-21 08:19:27,2020-04-21 08:19:27,0.141s,PASSED
Thread.sleep(2000),Safari 11,,2020-04-21 08:19:27,2020-04-21 08:19:29,2.002s,PASSED
