Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
hic,Safari 11,,2020-05-26 08:02:55,2020-05-26 08:50:45,47m - 50.696s,FAILED
,,,,,,
Test Cases/HIC/New/ACA,Safari 11,,2020-05-26 08:03:00,2020-05-26 08:08:04,5m - 4.313s,PASSED
"callTestCase(findTestCase(""HIC/_include/get_hicScreenPath""), [""project"":""HIC"", ""productLine"":""ACA"", ""carrierName"":""ACA""], CONTINUE_ON_FAILURE)",Safari 11,,2020-05-26 08:03:07,2020-05-26 08:03:14,6.882s,PASSED
i = 0,Safari 11,,2020-05-26 08:03:14,2020-05-26 08:03:14,0.001s,PASSED
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [""env"":env], CONTINUE_ON_FAILURE)",Safari 11,,2020-05-26 08:03:14,2020-05-26 08:05:59,2m - 44.698s,PASSED
driver = getWebDriver(),Safari 11,,2020-05-26 08:05:59,2020-05-26 08:05:59,0.231s,PASSED
baseUrl = env,Safari 11,,2020-05-26 08:05:59,2020-05-26 08:05:59,0.002s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Safari 11,,2020-05-26 08:05:59,2020-05-26 08:06:03,4.185s,PASSED
"selenium.click(""//span[@class='navbar-toggler-icon']"")",Safari 11,,2020-05-26 08:06:03,2020-05-26 08:06:11,7.935s,PASSED
"selenium.click(""//a[@class='dropdown-toggle nav-link']"")",Safari 11,,2020-05-26 08:06:11,2020-05-26 08:06:19,8.276s,PASSED
"selenium.click(""//a[contains(text(),'ACA Health Insurance')]"")",Safari 11,,2020-05-26 08:06:19,2020-05-26 08:06:33,13.125s,PASSED
"for ([second = 0, second < 10, (second++)])",Safari 11,,2020-05-26 08:06:33,2020-05-26 08:06:43,10.851s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-05-26 08:06:44,2020-05-26 08:06:51,7.319s,PASSED
"setText(findTestObject(""hic/medicare/zip""), ""33186"")",Safari 11,,2020-05-26 08:06:51,2020-05-26 08:07:15,24.355s,PASSED
Thread.sleep(3000),Safari 11,,2020-05-26 08:07:16,2020-05-26 08:07:19,3.619s,PASSED
"selenium.click(""//button[contains(text(),'Compare Plans')]"")",Safari 11,,2020-05-26 08:07:19,2020-05-26 08:07:48,28.814s,PASSED
"for ([second = 0, second < 10, (second++)])",Safari 11,,2020-05-26 08:07:48,2020-05-26 08:07:49,1.189s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-05-26 08:07:49,2020-05-26 08:08:04,15.247s,PASSED
,,,,,,
Test Cases/HIC/New/Cancer,Safari 11,,2020-05-26 08:08:05,2020-05-26 08:08:32,27.005s,FAILED
"callTestCase(findTestCase(""HIC/_include/get_hicScreenPath""), [""project"":""HIC"", ""productLine"":""Cancer"", ""carrierName"":""Cancer""], CONTINUE_ON_FAILURE)",Safari 11,,2020-05-26 08:08:08,2020-05-26 08:08:08,0.136s,PASSED
i = 0,Safari 11,,2020-05-26 08:08:08,2020-05-26 08:08:08,0.004s,PASSED
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [""env"":env], CONTINUE_ON_FAILURE)",Safari 11,,2020-05-26 08:08:08,2020-05-26 08:08:31,23.683s,FAILED
driver = getWebDriver(),Safari 11,,2020-05-26 08:08:31,2020-05-26 08:08:32,0.101s,FAILED
,,,,,,
Test Cases/HIC/New/Dental,Safari 11,,2020-05-26 08:08:32,2020-05-26 08:19:48,11m - 16.407s,PASSED
"callTestCase(findTestCase(""HIC/_include/get_hicScreenPath""), [""project"":""HIC"", ""productLine"":""Dental"", ""carrierName"":""USA Access""], CONTINUE_ON_FAILURE)",Safari 11,,2020-05-26 08:08:38,2020-05-26 08:08:39,1.274s,PASSED
i = 0,Safari 11,,2020-05-26 08:08:39,2020-05-26 08:08:39,0.001s,PASSED
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [""env"":env], CONTINUE_ON_FAILURE)",Safari 11,,2020-05-26 08:08:39,2020-05-26 08:09:41,1m - 2.090s,PASSED
driver = getWebDriver(),Safari 11,,2020-05-26 08:09:41,2020-05-26 08:09:41,0.001s,PASSED
baseUrl = env,Safari 11,,2020-05-26 08:09:41,2020-05-26 08:09:41,0.001s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Safari 11,,2020-05-26 08:09:41,2020-05-26 08:09:42,0.943s,PASSED
