Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
stm,Safari 11,,,2019-07-26 14:32:50,2019-07-26 14:44:21,11m - 31.608s,INCOMPLETE
,,,,,,,
Test Cases/mobileWeb/stm/Slaico,Safari 11,,,2019-07-26 14:32:50,2019-07-26 14:34:36,1m - 46.579s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""Salico""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-07-26 14:32:51,2019-07-26 14:32:52,0.738s,PASSED
i = 0,Safari 11,,,2019-07-26 14:32:52,2019-07-26 14:32:52,0.003s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-07-26 14:32:52,2019-07-26 14:33:03,10.988s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [""zipcode"":""60602""], STOP_ON_FAILURE)",Safari 11,,,2019-07-26 14:33:03,2019-07-26 14:33:16,12.847s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""slaico""], STOP_ON_FAILURE)",Safari 11,,,2019-07-26 14:33:16,2019-07-26 14:33:25,9.378s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToDetail_stm""), [""carrier"":""slaico""], STOP_ON_FAILURE)",Safari 11,,,2019-07-26 14:33:25,2019-07-26 14:33:33,7.505s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-07-26 14:33:33,2019-07-26 14:33:42,9.603s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToEnd_stm_autofill""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-07-26 14:33:42,2019-07-26 14:34:36,54.334s,PASSED
,,,,,,,
Test Cases/mobileWeb/stm/AdvantHealth,Safari 11,,,2019-07-26 14:34:36,2019-07-26 14:36:27,1m - 50.051s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""AdvantHealth""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-07-26 14:34:37,2019-07-26 14:34:37,0.072s,PASSED
i = 0,Safari 11,,,2019-07-26 14:34:37,2019-07-26 14:34:37,0.001s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,,2019-07-26 14:34:37,2019-07-26 14:34:46,9.523s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [""zipcode"":""35215""], STOP_ON_FAILURE)",Safari 11,,,2019-07-26 14:34:46,2019-07-26 14:34:56,9.632s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""advanthealth""], STOP_ON_FAILURE)",Safari 11,,,2019-07-26 14:34:56,2019-07-26 14:35:04,8.588s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToDetail_stm""), [""carrier"":""advanthealth""], STOP_ON_FAILURE)",Safari 11,,,2019-07-26 14:35:04,2019-07-26 14:35:12,7.073s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-07-26 14:35:12,2019-07-26 14:35:20,8.784s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToEnd_stm_autofill""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-07-26 14:35:20,2019-07-26 14:36:27,1m - 6.186s,PASSED
,,,,,,,
Test Cases/mobileWeb/stm/Companion,Safari 11,,,2019-07-26 14:36:27,2019-07-26 14:37:47,1m - 20.341s,FAILED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""Companion""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-07-26 14:36:27,2019-07-26 14:36:27,0.071s,PASSED
i = 0,Safari 11,,,2019-07-26 14:36:27,2019-07-26 14:36:27,0.001s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,,2019-07-26 14:36:27,2019-07-26 14:36:37,10.019s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [:], CONTINUE_ON_FAILURE)",Safari 11,,,2019-07-26 14:36:37,2019-07-26 14:36:47,9.857s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""pivotcompanion""], STOP_ON_FAILURE)",Safari 11,,,2019-07-26 14:36:47,2019-07-26 14:36:55,8.398s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToDetail_stm""), [""carrier"":""pivot-health-choice""], STOP_ON_FAILURE)",Safari 11,,,2019-07-26 14:36:55,2019-07-26 14:37:03,7.577s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-07-26 14:37:03,2019-07-26 14:37:13,10.724s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToEnd_stm_autofill""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-07-26 14:37:13,2019-07-26 14:37:47,33.451s,FAILED
,,,,,,,
Test Cases/mobileWeb/stm/Everest,Safari 11,,,2019-07-26 14:37:47,2019-07-26 14:39:33,1m - 46.513s,ERROR
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""Everest""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-07-26 14:37:47,2019-07-26 14:37:47,0.072s,PASSED
i = 0,Safari 11,,,2019-07-26 14:37:47,2019-07-26 14:37:47,0.001s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-07-26 14:37:47,2019-07-26 14:37:56,9.062s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [""zipcode"":""83709""], STOP_ON_FAILURE)",Safari 11,,,2019-07-26 14:37:56,2019-07-26 14:38:08,11.602s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""everest-one""], STOP_ON_FAILURE)",Safari 11,,,2019-07-26 14:38:08,2019-07-26 14:38:16,8.378s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToDetail_stm""), [""carrier"":""everest-one""], STOP_ON_FAILURE)",Safari 11,,,2019-07-26 14:38:16,2019-07-26 14:39:33,1m - 17.192s,FAILED
,,,,,,,
Test Cases/mobileWeb/stm/Everest Prime,Safari 11,,,2019-07-26 14:39:33,2019-07-26 14:41:16,1m - 43.051s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""Everest Prime""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-07-26 14:39:34,2019-07-26 14:39:34,0.067s,PASSED
i = 0,Safari 11,,,2019-07-26 14:39:34,2019-07-26 14:39:34,0.001s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,,2019-07-26 14:39:34,2019-07-26 14:39:44,10.218s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [:], CONTINUE_ON_FAILURE)",Safari 11,,,2019-07-26 14:39:44,2019-07-26 14:40:00,15.710s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""everest""], STOP_ON_FAILURE)",Safari 11,,,2019-07-26 14:40:00,2019-07-26 14:40:08,8.375s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToDetail_stm""), [""carrier"":""everest""], STOP_ON_FAILURE)",Safari 11,,,2019-07-26 14:40:08,2019-07-26 14:40:15,7.385s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-07-26 14:40:15,2019-07-26 14:40:26,10.718s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToEnd_stm_autofill""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-07-26 14:40:26,2019-07-26 14:41:16,50.329s,PASSED
,,,,,,,
Test Cases/mobileWeb/stm/LifeShield,Safari 11,,,2019-07-26 14:41:16,2019-07-26 14:42:59,1m - 42.856s,PASSED
