Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [""env"":ENV], STOP_ON_FAILURE)",Safari 11,,,2020-03-05 11:18:04,2020-03-05 11:18:46,41.949s,PASSED
driver = getWebDriver(),Safari 11,,,2020-03-05 11:18:46,2020-03-05 11:18:46,0.000s,PASSED
baseUrl = ENV,Safari 11,,,2020-03-05 11:18:46,2020-03-05 11:18:46,0.000s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Safari 11,,,2020-03-05 11:18:46,2020-03-05 11:18:46,0.023s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2020-03-05 11:18:46,2020-03-05 11:18:47,1.082s,PASSED
"selenium.click(""id=location"")",Safari 11,,,2020-03-05 11:18:47,2020-03-05 11:18:48,0.227s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2020-03-05 11:18:48,2020-03-05 11:18:49,1.080s,PASSED
"selenium.type(""id=location"", ""32209"")",Safari 11,,,2020-03-05 11:18:49,2020-03-05 11:18:49,0.129s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2020-03-05 11:18:49,2020-03-05 11:18:50,0.957s,PASSED
"selenium.click(""id=findPlans"")",Safari 11,,,2020-03-05 11:18:50,2020-03-05 11:18:50,0.204s,PASSED
"for ([second = 0, second < 60, (second++)])",Safari 11,,,2020-03-05 11:18:50,2020-03-05 11:19:14,23.609s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2020-03-05 11:19:14,2020-03-05 11:19:15,0.994s,PASSED
"selenium.click(""//a[contains(text(),'Select')]"")",Safari 11,,,2020-03-05 11:19:15,2020-03-05 11:19:15,0.686s,PASSED
"for ([second = 0, second < 60, (second++)])",Safari 11,,,2020-03-05 11:19:15,2020-03-05 11:19:31,15.707s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2020-03-05 11:19:31,2020-03-05 11:19:32,1.008s,PASSED
,,,,,,,
