Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
stm,Safari 11,,,2019-12-06 16:43:20,2019-12-06 17:01:35,18m - 14.341s,INCOMPLETE
,,,,,,,
Test Cases/AHI/stm/AdvantHealth,Safari 11,,,2019-12-06 16:43:22,2019-12-06 16:45:54,2m - 32.244s,FAILED
"callTestCase(findTestCase(""AHI/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""AdvantHealth""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-12-06 16:43:23,2019-12-06 16:43:25,2.157s,PASSED
i = 0,Safari 11,,,2019-12-06 16:43:25,2019-12-06 16:43:25,0.002s,PASSED
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,,2019-12-06 16:43:25,2019-12-06 16:43:43,18.464s,PASSED
"callTestCase(findTestCase(""AHI/_include/census_stm""), [""zipcode"":""35215""], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 16:43:43,2019-12-06 16:44:13,30.033s,PASSED
"callTestCase(findTestCase(""AHI/_include/filter_stm""), [""carrier"":""advanthealth""], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 16:44:13,2019-12-06 16:44:24,10.690s,PASSED
"callTestCase(findTestCase(""AHI/_include/goToDetail_stm""), [""carrier"":""advanthealth""], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 16:44:24,2019-12-06 16:44:32,8.257s,PASSED
"callTestCase(findTestCase(""AHI/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 16:44:32,2019-12-06 16:44:45,12.920s,PASSED
"callTestCase(findTestCase(""AHI/_include/goToEnd_stm_autofill""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 16:44:45,2019-12-06 16:45:54,1m - 8.732s,FAILED
,,,,,,,
Test Cases/AHI/stm/Aspen,Safari 11,,,2019-12-06 16:45:54,2019-12-06 16:47:59,2m - 4.572s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""Aspen""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-12-06 16:45:54,2019-12-06 16:45:54,0.085s,PASSED
i = 0,Safari 11,,,2019-12-06 16:45:54,2019-12-06 16:45:54,0.001s,PASSED
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 16:45:54,2019-12-06 16:46:12,17.169s,PASSED
"callTestCase(findTestCase(""AHI/_include/census_stm""), [""zipcode"":""60602""], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 16:46:12,2019-12-06 16:46:39,27.961s,PASSED
"callTestCase(findTestCase(""AHI/_include/filter_stm""), [""carrier"":""aspen""], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 16:46:39,2019-12-06 16:46:47,7.634s,PASSED
"callTestCase(findTestCase(""AHI/_include/goToDetail_stm""), [""carrier"":""aspen""], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 16:46:47,2019-12-06 16:46:53,5.902s,PASSED
