Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
stm,Safari 11,,,2019-09-05 13:48:51,2019-09-05 14:03:43,14m - 51.777s,INCOMPLETE
,,,,,,,
Test Cases/mobileWeb/stm/Slaico,Safari 11,,,2019-09-05 13:48:51,2019-09-05 13:50:53,2m - 1.540s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""Salico""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-09-05 13:48:53,2019-09-05 13:48:53,0.781s,PASSED
i = 0,Safari 11,,,2019-09-05 13:48:53,2019-09-05 13:48:53,0.002s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:48:53,2019-09-05 13:49:04,10.503s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [""zipcode"":""60602""], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:49:04,2019-09-05 13:49:34,30.501s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""slaico""], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:49:34,2019-09-05 13:49:44,9.481s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToDetail_stm""), [""carrier"":""slaico""], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:49:44,2019-09-05 13:49:51,7.362s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:49:51,2019-09-05 13:50:01,9.992s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToEnd_stm_autofill""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:50:01,2019-09-05 13:50:53,51.727s,PASSED
,,,,,,,
Test Cases/mobileWeb/stm/AdvantHealth,Safari 11,,,2019-09-05 13:50:53,2019-09-05 13:52:57,2m - 3.678s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""AdvantHealth""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-09-05 13:50:53,2019-09-05 13:50:53,0.073s,PASSED
i = 0,Safari 11,,,2019-09-05 13:50:53,2019-09-05 13:50:53,0.000s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,,2019-09-05 13:50:53,2019-09-05 13:51:02,8.638s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [""zipcode"":""35215""], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:51:02,2019-09-05 13:51:33,31.240s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""advanthealth""], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:51:33,2019-09-05 13:51:42,8.800s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToDetail_stm""), [""carrier"":""advanthealth""], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:51:42,2019-09-05 13:51:50,7.758s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:51:50,2019-09-05 13:52:00,9.882s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToEnd_stm_autofill""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:52:00,2019-09-05 13:52:57,57.040s,PASSED
,,,,,,,
Test Cases/mobileWeb/stm/Companion,Safari 11,,,2019-09-05 13:52:57,2019-09-05 13:55:02,2m - 5.775s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""Companion""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-09-05 13:52:57,2019-09-05 13:52:57,0.071s,PASSED
i = 0,Safari 11,,,2019-09-05 13:52:57,2019-09-05 13:52:57,0.001s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,,2019-09-05 13:52:57,2019-09-05 13:53:05,8.289s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [:], CONTINUE_ON_FAILURE)",Safari 11,,,2019-09-05 13:53:05,2019-09-05 13:53:37,31.937s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""pivotcompanion""], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:53:37,2019-09-05 13:53:46,8.637s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToDetail_stm""), [""carrier"":""pivot-health-choice""], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:53:46,2019-09-05 13:53:53,7.048s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:53:53,2019-09-05 13:54:02,9.348s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToEnd_stm_autofill""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:54:02,2019-09-05 13:55:02,1m - 0.216s,PASSED
,,,,,,,
Test Cases/mobileWeb/stm/Everest,Safari 11,,,2019-09-05 13:55:02,2019-09-05 13:56:40,1m - 37.680s,PASSED
