Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
stm,Safari 11,,2019-02-21 15:40:24,2019-02-21 15:43:43,3m - 19.565s,FAILED
,,,,,,
Test Cases/mobileWeb/stm/AdvantHealth,Safari 11,,2019-02-21 15:40:25,2019-02-21 15:43:02,2m - 37.517s,FAILED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2019-02-21 15:40:25,2019-02-21 15:40:51,25.653s,PASSED
"click(findTestObject(""mobileSanity/STM/Home Page/a_Quote  Save Today""))",Safari 11,,2019-02-21 15:40:51,2019-02-21 15:41:02,11.001s,PASSED
"setText(findTestObject(""mobileSanity/STM/STM Census Page/input_Location_zip-input""), ""35216"")",Safari 11,,2019-02-21 15:41:02,2019-02-21 15:41:03,1.017s,PASSED
"setText(findTestObject(""mobileSanity/STM/STM Census Page/input_Date of Birth_dob-0""), ""03/03/1987"")",Safari 11,,2019-02-21 15:41:03,2019-02-21 15:41:03,0.248s,PASSED
"click(findTestObject(""mobileSanity/STM/STM Census Page/label_Male""))",Safari 11,,2019-02-21 15:41:03,2019-02-21 15:41:04,0.377s,PASSED
"click(findTestObject(""mobileSanity/STM/STM Census Page/label_Compare Plans""))",Safari 11,,2019-02-21 15:41:04,2019-02-21 15:41:16,11.868s,PASSED
waitForPageLoad(10),Safari 11,,2019-02-21 15:41:16,2019-02-21 15:41:16,0.112s,PASSED
takeScreenshot(),Safari 11,,2019-02-21 15:41:16,2019-02-21 15:41:17,1.080s,PASSED
Thread.sleep(2000),Safari 11,,2019-02-21 15:41:17,2019-02-21 15:41:19,2.004s,PASSED
"click(findTestObject(""mobileSanity/STM/STM Quote Page/button_filters""))",Safari 11,,2019-02-21 15:41:19,2019-02-21 15:41:19,0.386s,PASSED
Thread.sleep(500),Safari 11,,2019-02-21 15:41:19,2019-02-21 15:41:20,0.506s,PASSED
"click(findTestObject(""mobileSanity/STM/STM Quote Page/i_Insurance company""))",Safari 11,,2019-02-21 15:41:20,2019-02-21 15:41:20,0.101s,PASSED
