Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
stm,Safari 11,,2019-08-20 02:57:28,2019-08-20 03:05:55,8m - 27.588s,FAILED
,,,,,,
Test Cases/mobileWeb/stm/Slaico,Safari 11,,2019-08-20 02:57:28,2019-08-20 02:58:40,1m - 12.066s,FAILED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""Salico""], CONTINUE_ON_FAILURE)",Safari 11,,2019-08-20 02:57:29,2019-08-20 02:57:29,0.476s,PASSED
i = 0,Safari 11,,2019-08-20 02:57:29,2019-08-20 02:57:29,0.000s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], STOP_ON_FAILURE)",Safari 11,,2019-08-20 02:57:29,2019-08-20 02:57:35,6.258s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [""zipcode"":""60602""], STOP_ON_FAILURE)",Safari 11,,2019-08-20 02:57:35,2019-08-20 02:57:45,9.376s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""slaico""], STOP_ON_FAILURE)",Safari 11,,2019-08-20 02:57:45,2019-08-20 02:57:53,7.846s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToDetail_stm""), [""carrier"":""slaico""], STOP_ON_FAILURE)",Safari 11,,2019-08-20 02:57:53,2019-08-20 02:57:56,3.911s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,2019-08-20 02:57:56,2019-08-20 02:58:03,6.810s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToEnd_stm_autofill""), [:], STOP_ON_FAILURE)",Safari 11,,2019-08-20 02:58:03,2019-08-20 02:58:40,36.959s,FAILED
,,,,,,
Test Cases/mobileWeb/stm/AdvantHealth,Safari 11,,2019-08-20 02:58:40,2019-08-20 02:59:52,1m - 11.638s,FAILED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""AdvantHealth""], CONTINUE_ON_FAILURE)",Safari 11,,2019-08-20 02:58:41,2019-08-20 02:58:41,0.090s,PASSED
i = 0,Safari 11,,2019-08-20 02:58:41,2019-08-20 02:58:41,0.000s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2019-08-20 02:58:41,2019-08-20 02:58:44,3.402s,PASSED
