Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
asegumed,Safari 11,,2020-03-24 08:00:43,2020-03-24 08:03:53,3m - 10.415s,PASSED
,,,,,,
Test Cases/AseguMed/Legion,Safari 11,,2020-03-24 08:00:44,2020-03-24 08:03:52,3m - 7.505s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenPath""), [""productLine"":""AseguMed"", ""carrierName"":""Legion""], STOP_ON_FAILURE)",Safari 11,,2020-03-24 08:00:49,2020-03-24 08:00:51,1.572s,PASSED
i = 0,Safari 11,,2020-03-24 08:00:51,2020-03-24 08:00:51,0.002s,PASSED
"openBrowser(""https://pruebas.asegumed.com/"")",Safari 11,,2020-03-24 08:00:51,2020-03-24 08:01:06,15.125s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-03-24 08:01:06,2020-03-24 08:01:14,8.255s,PASSED
"click(findTestObject(""AseguMed/homepage/cta-button""))",Safari 11,,2020-03-24 08:01:14,2020-03-24 08:01:16,1.829s,PASSED
"waitForElementPresent(findTestObject(""AseguMed/census_page/input_zip""), 20)",Safari 11,,2020-03-24 08:01:16,2020-03-24 08:01:16,0.436s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-03-24 08:01:16,2020-03-24 08:01:18,1.786s,PASSED
"sendKeys(findTestObject(""AseguMed/census_page/input_zip""), ""35215"")",Safari 11,,2020-03-24 08:01:18,2020-03-24 08:01:19,0.457s,PASSED
"sendKeys(findTestObject(""AseguMed/census_page/input_dob""), ""12121988"")",Safari 11,,2020-03-24 08:01:19,2020-03-24 08:01:19,0.292s,PASSED
"click(findTestObject(""AseguMed/census_page/label_gender_male""))",Safari 11,,2020-03-24 08:01:19,2020-03-24 08:01:19,0.422s,PASSED
"click(findTestObject(""AseguMed/census_page/census_submit_button""))",Safari 11,,2020-03-24 08:01:19,2020-03-24 08:01:22,2.295s,PASSED
"waitForElementPresent(findTestObject(""AseguMed/quote_page/detail_link_plan_2""), 20)",Safari 11,,2020-03-24 08:01:22,2020-03-24 08:01:22,0.063s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-03-24 08:01:22,2020-03-24 08:01:24,2.360s,PASSED
"click(findTestObject(""AseguMed/quote_page/detail_link_plan_2""))",Safari 11,,2020-03-24 08:01:24,2020-03-24 08:01:26,1.656s,PASSED
waitForPageLoad(10),Safari 11,,2020-03-24 08:01:26,2020-03-24 08:01:27,1.642s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-03-24 08:01:27,2020-03-24 08:01:29,1.795s,PASSED
"click(findTestObject(""AseguMed/detail_page/detail_apply_button""))",Safari 11,,2020-03-24 08:01:29,2020-03-24 08:01:30,1.183s,PASSED
waitForPageLoad(10),Safari 11,,2020-03-24 08:01:30,2020-03-24 08:01:30,0.056s,PASSED
