Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
stm,Safari 11,,,2019-12-06 13:37:35,2019-12-06 13:53:18,15m - 42.992s,INCOMPLETE
,,,,,,,
Test Cases/AHI/stm/Slaico,Safari 11,,,2019-12-06 13:37:35,2019-12-06 13:39:43,2m - 7.783s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""Salico""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-12-06 13:37:36,2019-12-06 13:37:37,0.880s,PASSED
i = 0,Safari 11,,,2019-12-06 13:37:37,2019-12-06 13:37:37,0.001s,PASSED
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 13:37:37,2019-12-06 13:37:47,10.123s,PASSED
"callTestCase(findTestCase(""AHI/_include/census_stm""), [""zipcode"":""60602""], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 13:37:47,2019-12-06 13:38:25,37.443s,PASSED
"callTestCase(findTestCase(""AHI/_include/filter_stm""), [""carrier"":""slaico""], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 13:38:25,2019-12-06 13:38:33,7.682s,PASSED
"callTestCase(findTestCase(""AHI/_include/goToDetail_stm""), [""carrier"":""slaico""], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 13:38:33,2019-12-06 13:38:39,6.475s,PASSED
"callTestCase(findTestCase(""AHI/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 13:38:39,2019-12-06 13:38:48,8.775s,PASSED
"callTestCase(findTestCase(""AHI/_include/goToEnd_stm_autofill""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 13:38:48,2019-12-06 13:39:43,54.956s,PASSED
,,,,,,,
Test Cases/AHI/stm/AdvantHealth,Safari 11,,,2019-12-06 13:39:43,2019-12-06 13:41:46,2m - 3.720s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""AdvantHealth""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-12-06 13:39:43,2019-12-06 13:39:43,0.077s,PASSED
i = 0,Safari 11,,,2019-12-06 13:39:43,2019-12-06 13:39:43,0.001s,PASSED
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,,2019-12-06 13:39:43,2019-12-06 13:39:51,7.626s,PASSED
"callTestCase(findTestCase(""AHI/_include/census_stm""), [""zipcode"":""35215""], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 13:39:51,2019-12-06 13:40:09,18.766s,PASSED
"callTestCase(findTestCase(""AHI/_include/filter_stm""), [""carrier"":""advanthealth""], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 13:40:09,2019-12-06 13:40:16,7.042s,PASSED
"callTestCase(findTestCase(""AHI/_include/goToDetail_stm""), [""carrier"":""advanthealth""], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 13:40:16,2019-12-06 13:40:24,7.236s,PASSED
"callTestCase(findTestCase(""AHI/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 13:40:24,2019-12-06 13:40:34,10.353s,PASSED
"callTestCase(findTestCase(""AHI/_include/goToEnd_stm_autofill""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 13:40:34,2019-12-06 13:41:46,1m - 12.407s,PASSED
,,,,,,,
Test Cases/AHI/stm/Companion,Safari 11,,,2019-12-06 13:41:46,2019-12-06 13:43:41,1m - 54.139s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""Companion""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-12-06 13:41:47,2019-12-06 13:41:47,0.076s,PASSED
i = 0,Safari 11,,,2019-12-06 13:41:47,2019-12-06 13:41:47,0.001s,PASSED
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,,2019-12-06 13:41:47,2019-12-06 13:41:55,8.314s,PASSED
"callTestCase(findTestCase(""AHI/_include/census_stm""), [:], CONTINUE_ON_FAILURE)",Safari 11,,,2019-12-06 13:41:55,2019-12-06 13:42:13,17.337s,PASSED
"callTestCase(findTestCase(""AHI/_include/filter_stm""), [""carrier"":""pivotcompanion""], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 13:42:13,2019-12-06 13:42:20,7.536s,PASSED
"callTestCase(findTestCase(""AHI/_include/goToDetail_stm""), [""carrier"":""pivot-health-choice""], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 13:42:20,2019-12-06 13:42:26,5.971s,PASSED
"callTestCase(findTestCase(""AHI/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 13:42:26,2019-12-06 13:42:35,8.493s,PASSED
"callTestCase(findTestCase(""AHI/_include/goToEnd_stm_autofill""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 13:42:35,2019-12-06 13:43:41,1m - 6.115s,PASSED
,,,,,,,
