Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ahi,Safari 11,,2020-04-02 08:12:05,2020-04-02 08:20:56,8m - 51.153s,PASSED
,,,,,,
Test Cases/AHI/NEW/ACA Health Insurance,Safari 11,,2020-04-02 08:12:05,2020-04-02 08:12:26,21.422s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenPath""), [""productLine"":""AHI"", ""carrierName"":""ACA Health Insurance""], CONTINUE_ON_FAILURE)",Safari 11,,2020-04-02 08:12:06,2020-04-02 08:12:06,0.868s,PASSED
i = 0,Safari 11,,2020-04-02 08:12:06,2020-04-02 08:12:06,0.002s,PASSED
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2020-04-02 08:12:06,2020-04-02 08:12:17,10.617s,PASSED
driver = getWebDriver(),Safari 11,,2020-04-02 08:12:17,2020-04-02 08:12:17,0.044s,PASSED
baseUrl = ENV,Safari 11,,2020-04-02 08:12:17,2020-04-02 08:12:17,0.005s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Safari 11,,2020-04-02 08:12:17,2020-04-02 08:12:17,0.117s,PASSED
"selenium.click(""//*[@class='filter-option-inner-inner']"")",Safari 11,,2020-04-02 08:12:17,2020-04-02 08:12:17,0.223s,PASSED
"selenium.click(""id=bs-select-1-0"")",Safari 11,,2020-04-02 08:12:17,2020-04-02 08:12:18,0.462s,PASSED
"selenium.click(""id=primaryCTA"")",Safari 11,,2020-04-02 08:12:18,2020-04-02 08:12:19,1.300s,PASSED
"for ([second = 0, second < 10, (second++)])",Safari 11,,2020-04-02 08:12:19,2020-04-02 08:12:21,1.693s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-04-02 08:12:21,2020-04-02 08:12:22,1.561s,PASSED
"url = selenium.getAttribute(""xpath=(//a[@class='front-door-quote-button'])@href"")",Safari 11,,2020-04-02 08:12:22,2020-04-02 08:12:22,0.049s,PASSED
navigateToUrl(url),Safari 11,,2020-04-02 08:12:22,2020-04-02 08:12:25,2.378s,PASSED
waitForPageLoad(10),Safari 11,,2020-04-02 08:12:25,2020-04-02 08:12:25,0.015s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-04-02 08:12:25,2020-04-02 08:12:26,1.546s,PASSED
,,,,,,
Test Cases/AHI/NEW/Cancer Insurance,Safari 11,,2020-04-02 08:12:26,2020-04-02 08:14:05,1m - 38.735s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenPath""), [""productLine"":""AHI"", ""carrierName"":""Cancer Insurance""], CONTINUE_ON_FAILURE)",Safari 11,,2020-04-02 08:12:27,2020-04-02 08:12:27,0.096s,PASSED
i = 0,Safari 11,,2020-04-02 08:12:27,2020-04-02 08:12:27,0.001s,PASSED
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2020-04-02 08:12:27,2020-04-02 08:12:35,7.958s,PASSED
driver = getWebDriver(),Safari 11,,2020-04-02 08:12:35,2020-04-02 08:12:35,0.001s,PASSED
baseUrl = ENV,Safari 11,,2020-04-02 08:12:35,2020-04-02 08:12:35,0.001s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Safari 11,,2020-04-02 08:12:35,2020-04-02 08:12:35,0.036s,PASSED
"selenium.click(""//*[@class='filter-option-inner-inner']"")",Safari 11,,2020-04-02 08:12:35,2020-04-02 08:12:35,0.602s,PASSED
"selenium.click(""id=bs-select-1-1"")",Safari 11,,2020-04-02 08:12:35,2020-04-02 08:12:36,0.377s,PASSED
"selenium.click(""id=primaryCTA"")",Safari 11,,2020-04-02 08:12:36,2020-04-02 08:12:37,1.092s,PASSED
"for ([second = 0, second < 20, (second++)])",Safari 11,,2020-04-02 08:12:37,2020-04-02 08:12:39,2.024s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-04-02 08:12:39,2020-04-02 08:12:41,1.669s,PASSED
"sendKeys(findTestObject(""mobileSanity/Cancer Insurance/zip""), ""35216"")",Safari 11,,2020-04-02 08:12:41,2020-04-02 08:12:41,0.764s,PASSED
"sendKeys(findTestObject(""mobileSanity/Cancer Insurance/dob-0""), ""01/01/1990"")",Safari 11,,2020-04-02 08:12:41,2020-04-02 08:12:42,0.302s,PASSED
Thread.sleep(2000),Safari 11,,2020-04-02 08:12:42,2020-04-02 08:12:44,2.014s,PASSED
"selenium.click(""//label[@for='gender-m-0']"")",Safari 11,,2020-04-02 08:12:44,2020-04-02 08:12:44,0.418s,PASSED
Thread.sleep(3000),Safari 11,,2020-04-02 08:12:44,2020-04-02 08:12:47,3.003s,PASSED
"selenium.click(""id=js-see-plans"")",Safari 11,,2020-04-02 08:12:47,2020-04-02 08:12:48,0.813s,PASSED
"for ([second = 0, second < 20, (second++)])",Safari 11,,2020-04-02 08:12:48,2020-04-02 08:13:13,24.709s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-04-02 08:13:13,2020-04-02 08:13:14,1.520s,PASSED
"selenium.click(""xpath=(//a[contains(text(),'Option 1')])[1]"")",Safari 11,,2020-04-02 08:13:14,2020-04-02 08:13:16,1.492s,PASSED
"for ([second = 0, second < 20, (second++)])",Safari 11,,2020-04-02 08:13:16,2020-04-02 08:13:16,0.233s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-04-02 08:13:16,2020-04-02 08:13:17,1.660s,PASSED
"selenium.click(""id=plan-details-primary-apply"")",Safari 11,,2020-04-02 08:13:17,2020-04-02 08:13:19,1.075s,PASSED
"for ([second = 0, second < 20, (second++)])",Safari 11,,2020-04-02 08:13:19,2020-04-02 08:13:20,1.034s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-04-02 08:13:20,2020-04-02 08:13:21,1.514s,PASSED
"selenium.click(""id=applyButton"")",Safari 11,,2020-04-02 08:13:21,2020-04-02 08:13:22,0.766s,PASSED
"for ([second = 0, second < 20, (second++)])",Safari 11,,2020-04-02 08:13:22,2020-04-02 08:13:25,2.752s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-04-02 08:13:25,2020-04-02 08:13:26,1.475s,PASSED
"callTestCase(findTestCase(""AHI/_include/name""), [:], STOP_ON_FAILURE)",Safari 11,,2020-04-02 08:13:26,2020-04-02 08:13:27,0.519s,PASSED
"selenium.type(""id=member-P-1-firstName"", FirstName)",Safari 11,,2020-04-02 08:13:27,2020-04-02 08:13:27,0.314s,PASSED
"selenium.type(""id=member-P-1-lastName"", LastName)",Safari 11,,2020-04-02 08:13:27,2020-04-02 08:13:27,0.257s,PASSED
"selenium.type(""id=address"", Address)",Safari 11,,2020-04-02 08:13:27,2020-04-02 08:13:27,0.199s,PASSED
"selenium.type(""id=city"", City)",Safari 11,,2020-04-02 08:13:27,2020-04-02 08:13:28,0.285s,PASSED
"selenium.type(""id=email"", AutoEmail)",Safari 11,,2020-04-02 08:13:28,2020-04-02 08:13:28,0.462s,PASSED
"selenium.type(""id=primaryPhone"", Tel)",Safari 11,,2020-04-02 08:13:28,2020-04-02 08:13:28,0.188s,PASSED
"selenium.click(""id=js-app-continue-link"")",Safari 11,,2020-04-02 08:13:28,2020-04-02 08:13:29,0.357s,PASSED
