Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"callTestCase(findTestCase(""mobileWeb/_include/goToDetail_stm""), [""carrier"":""everest-one""], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:17:54,2019-09-05 13:18:01,7.509s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:18:01,2019-09-05 13:18:10,8.939s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToEnd_stm_autofill""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:18:10,2019-09-05 13:19:03,52.175s,PASSED
,,,,,,,
Test Cases/mobileWeb/stm/Everest Prime,Safari 11,,,2019-09-05 13:19:03,2019-09-05 13:20:40,1m - 37.480s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""Everest Prime""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-09-05 13:19:03,2019-09-05 13:19:03,0.067s,PASSED
i = 0,Safari 11,,,2019-09-05 13:19:03,2019-09-05 13:19:03,0.001s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,,2019-09-05 13:19:03,2019-09-05 13:19:10,7.330s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [:], CONTINUE_ON_FAILURE)",Safari 11,,,2019-09-05 13:19:10,2019-09-05 13:19:24,13.424s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""everest""], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:19:24,2019-09-05 13:19:32,8.494s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToDetail_stm""), [""carrier"":""everest""], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:19:32,2019-09-05 13:19:39,7.038s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:19:39,2019-09-05 13:19:49,9.404s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToEnd_stm_autofill""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:19:49,2019-09-05 13:20:40,51.536s,PASSED
,,,,,,,
Test Cases/mobileWeb/stm/LifeShield,Safari 11,,,2019-09-05 13:20:40,2019-09-05 13:22:20,1m - 40.206s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""LifeShield""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-09-05 13:20:40,2019-09-05 13:20:40,0.070s,PASSED
i = 0,Safari 11,,,2019-09-05 13:20:40,2019-09-05 13:20:40,0.000s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:20:40,2019-09-05 13:20:48,7.430s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [""zipcode"":""60602""], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:20:48,2019-09-05 13:21:03,14.941s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""lifeshield""], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:21:03,2019-09-05 13:21:11,8.583s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToDetail_stm""), [""carrier"":""lifeshield""], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:21:11,2019-09-05 13:21:19,7.305s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:21:19,2019-09-05 13:21:28,9.467s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToEnd_stm_autofill""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:21:28,2019-09-05 13:22:20,52.170s,PASSED
,,,,,,,
Test Cases/mobileWeb/stm/NationalGeneral,Safari 11,,,2019-09-05 13:22:20,2019-09-05 13:24:59,2m - 38.979s,FAILED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""National General""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-09-05 13:22:20,2019-09-05 13:22:21,0.071s,PASSED
i = 0,Safari 11,,,2019-09-05 13:22:21,2019-09-05 13:22:21,0.001s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,,2019-09-05 13:22:21,2019-09-05 13:22:28,7.911s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [:], CONTINUE_ON_FAILURE)",Safari 11,,,2019-09-05 13:22:28,2019-09-05 13:22:43,14.626s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""nationalgeneral""], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:22:43,2019-09-05 13:22:52,8.596s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToDetail_stm""), [""carrier"":""nationalgeneral""], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:22:52,2019-09-05 13:22:59,6.911s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:22:59,2019-09-05 13:23:08,9.094s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToEnd_stm_autofill""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:23:08,2019-09-05 13:24:59,1m - 51.382s,FAILED
,,,,,,,
Test Cases/mobileWeb/stm/Aspen,Safari 11,,,2019-09-05 13:24:59,2019-09-05 13:26:56,1m - 56.243s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""Aspen""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-09-05 13:24:59,2019-09-05 13:25:00,0.068s,PASSED
i = 0,Safari 11,,,2019-09-05 13:25:00,2019-09-05 13:25:00,0.001s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:25:00,2019-09-05 13:25:07,7.548s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [""zipcode"":""60602""], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:25:07,2019-09-05 13:25:38,30.681s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""aspen""], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:25:38,2019-09-05 13:25:47,8.875s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToDetail_stm""), [""carrier"":""aspen""], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:25:47,2019-09-05 13:25:54,7.241s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:25:54,2019-09-05 13:26:03,8.916s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToEnd_stm_autofill""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:26:03,2019-09-05 13:26:56,52.729s,PASSED
