Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
stm,Safari 11,,2019-12-05 08:02:28,2019-12-05 08:09:19,6m - 51.252s,FAILED
,,,,,,
Test Cases/mobileWeb/stm/Slaico,Safari 11,,2019-12-05 08:02:28,2019-12-05 08:02:47,18.973s,FAILED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""Salico""], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-05 08:02:29,2019-12-05 08:02:29,0.510s,PASSED
i = 0,Safari 11,,2019-12-05 08:02:29,2019-12-05 08:02:29,0.000s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], STOP_ON_FAILURE)",Safari 11,,2019-12-05 08:02:29,2019-12-05 08:02:35,5.889s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [""zipcode"":""60602""], STOP_ON_FAILURE)",Safari 11,,2019-12-05 08:02:35,2019-12-05 08:02:45,10.101s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""slaico""], STOP_ON_FAILURE)",Safari 11,,2019-12-05 08:02:45,2019-12-05 08:02:47,1.968s,FAILED
,,,,,,
Test Cases/mobileWeb/stm/AdvantHealth,Safari 11,,2019-12-05 08:02:47,2019-12-05 08:03:07,19.310s,FAILED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""AdvantHealth""], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-05 08:02:48,2019-12-05 08:02:48,0.077s,PASSED
i = 0,Safari 11,,2019-12-05 08:02:48,2019-12-05 08:02:48,0.001s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-05 08:02:48,2019-12-05 08:02:54,6.392s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [""zipcode"":""35215""], STOP_ON_FAILURE)",Safari 11,,2019-12-05 08:02:54,2019-12-05 08:03:05,11.045s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""advanthealth""], STOP_ON_FAILURE)",Safari 11,,2019-12-05 08:03:05,2019-12-05 08:03:07,1.563s,FAILED
,,,,,,
